# 506 words without pitch accent data
# Format: word	reading

顔を上げる	かおをあげる
だぶだぶな	だぶだぶな
〜足	〜そく
たんす	たんす
イメチェン	イメチェン
くし	くし
かみそり	かみそり
相談者	そうだんしゃ
お手並みを見せてもらおう	おてなみをみせてもらおう
皮ごと	かわごと
振りをする	ふりをする
面接官	めんせつかん
〜おき	〜おき
野良〜	のら〜
〜離れ	〜ばなれ
ひとしい	ひとしい
多義性	たぎせい
〜巻	〜かん
〜たげる	〜たげる
いいの？	いいの？
アホ	アホ
ねじ	ねじ
〜章	〜しょう
一段と	いちだんと
よほど	よほど
せっかちな	せっかちな
たちまち	たちまち
だけのことある	だけのことある
不揃い(な)	ふそろい(な)
退っ引きならない	っのっぴきならない
おなら	おなら
しなやか	しなやか（な）
視覚障害	しかくしょうがい
まばら	まばら（な）
がらん	がらん
響く(

文字通りの意味ではない)	ひびく
いまいち	いまいち
よす	よす
まく	まく
ほっぺたが落ちる	ほっぺたがおちる
ぼろぼろな	ぼろぼろな
ポイ捨て	ポイすて
〜通り	〜どおり
〜性	〜せい
点々と	々てんてんと
〜一	〜いち
しみじみ	しみじみ
ひとりでに	ひとりでに
はしご	はしご
プレゼン	プレゼン
血は争えない	ちはあらそえない
容赦なく	ようしゃなく
琉球	りゅうきゅう
〜制	せい
くっつける	くっつける
支え合う	ささえあう
ひょっとしたら	ひょっとしたら
かぶせる	かぶせる
前〜	ぜん
元〜	もと
極〜	ごく〜
固体 (not 個体)	こたい
省〜	しょう〜
かかりつけ	かかりつけ
むやみに	むやみに
ピンボケ	ピンボケ
キレる	キレる
〜連れ	〜づれ
じゃんけん	じゃんけん
言うことなし	いうことなし
とのことだ	とのことだ
〜並み	〜なみ
措置を講じる	そちをこうじる
客先	きゃくさき
ご機嫌伺い	ごごきげんうかがい
ふらりと	ふらりと
芳しい (usually as negative)	かんばしい
ジタバタ	ジタバタ
とやかく言う	とやかくいう
耳を澄ます	みみをすます
口を噤む	くちをつぐむ
からくり	からくり
かろうじて	かろうじて
幾何学模様	きかがくもよう
うねり	うねり
蜜蠟	みつろう
オチ	オチ
貴族主義	きぞくしゅぎ
成りすまし	なりすまし
やりくり	やりくり
中性的	ちゅうせいてき
を皮切りに	をかわきりに
端的に言う	たんてきにいう
粘着質	ねんちゃくしつ
犬に対する表現: オテ、オカワリ、オスワリ	にする:オテ、オカワリ、オスワリ
漬く/浸く	つく/つく
思いを馳せる	おもいをはせる
〜房	〜ふさ
ー染みる	しみる
ということだ	ということだ
四半	しはん
ふんだんに	ふんだんに
ちっぽけ	ちっぽけ
煙に巻く	けむにまく
断トツ	トツだんとつ
かわす	かわす
柑橘	かんきつ（るい）
オウム	オウム
はにかむ	はにかむ
ビビる	ビビる
わだかまり	わだかまり
取り下げた	とりさげた
取り返しがつかない	とりかえしがつかない
途方に暮れる	とほうにくれる
究極的	きゅうきょくてき
ぱっとしない	ぱっとしない
あたかも	あたかも
否応なしに	いやおうなしに
物思いに耽る	ものおもいにふける
丸裸になる	まるはだかになる
けりがつく	けりがつく
しとやか	しとやか
即ハメ	そくハメ
杖をつく	つえをつく
立ち尽く	たちつく
ふくらはぎ	ふくらはぎ
うろたえる	うろたえる
こぶ	こぶ
おしまい	おしまい
しるし	しるし
ダメ元	ダメもと
もとを辿る	もとをたどる
ついぞ	ついぞ
べらぼう	べらぼう
時間稼ぎ	じかんかせぎ
ナメる	ナメる
かつ	かつ
かいつまむ	かいつまむ
意表をつく	いひょうをつく
虚勢を張る	きょせいをはる
さして+neg	さして
気に留める	きにとめる
ややもすれば	ややもすれば
それきり	それきり
口をきく	くちをきく
度胸を据える	どきょうをすえる
それでいて	それでいて
きょときょと/きょろきょろ	きょときょと/きょろきょろ
イケドリ	イケドリ
ことごとく	ことごとく
ベタベタ	ベタベタ
ブレる	ブレる
しびれを切らす	しびれをきらす
敵わない	かなわない
ありったけ	ありったけ
ごっこ	ごっこ
隻	せき
